manufacturer,numHelpful,rating,text,title,username,doRecommend,date
Amazon,0,5,"I had Microsoft Surface- unfortunately daughter dropped and cracked screen so needed a new tablet. Since went back to laptop for work didn't need another Surface. Settled on 8"" Kindle HD over Samsung and IPad mini due to value. I only use for social networks- email- games- internet search- and occasional viewing of videos. This is a good basic tablet that can handle this no problem with a good wifi connection. Great value as I paid under $100 during the holidays and it has been as good as my Surface for these basic uses.",Awesome tablet for me,JWF46,TRUE,2017-01-30T00:00:00.000Z
Amazon,0,5,The device is a good item and I really recommend to everyone,It was good,Danny,TRUE,2016-12-30T00:00:00.000Z
Amazon,0,5,I love it a lot and use it daily- bought books....,Kindle Reading,Vadher4799,TRUE,2017-01-23T00:00:00.000Z
Amazon,0,5,Perfect size for reading watching movies and carrying on a plane,Great Kindle,Robert,TRUE,2017-03-10T00:00:00.000Z
Amazon,0,5,I love my kindle. It fast- great pict quality and is so convenient to use. I love using it to watch Netflix. It worth the purchase if you don't want to spend so much money.,The best !!!,Chavez,TRUE,2016-11-16T00:00:00.000Z
Amazon,0,5,I bought this as a light-weight alternative to an iPad for collecting and enjoying Kindle and Amazon Video products. When combined with the dedicated Fire cover- it's low price along with a very readable screen and the option for a Micro SD card make it an excellent choice for travel and time spent in waiting-rooms- etc.- allowing lots of memory space for ones library as well as flexibility regarding how it is held or positioned.,Great for Amazon-related activities,mediaropa,TRUE,2017-01-08T00:00:00.000Z
Amazon,0,5,Not much to say here. Cheap- fast and very functional. I was able to install google play store and everything works perfectly. Best tablet in its category. If you want something better- you better be ready to pay 3-4 times the price.,Great performer,barom,TRUE,2017-01-23T00:00:00.000Z
Amazon,0,5,It was by far the best deal out there for the money very happy,Great reader,Billie,TRUE,2016-12-07T00:00:00.000Z
Amazon,0,4,Got this for my wife. She uses it daily to read She really lokes it.,My wife loves this,Brad,TRUE,2017-01-28T00:00:00.000Z
Amazon,0,5,This tablet is really easy to use and since I'm a Amazon Prime member the video's and music is easy to access. I'm really surprised how fast the unit compared to my older i-pad. I would recommend this if anyone wants a good value product.,Very easy tablet to use,Doug,TRUE,2017-01-01T00:00:00.000Z
Amazon,0,4,This feels like an affordable tablet. While not the best in class- it isn't priced to be that either. Works well. Happy with purchase.,not the best in class but priced right,Dropp,TRUE,2017-02-19T00:00:00.000Z
